Categoria,Nome do Produto,Voltagem,Preço Principal,Preço à Vista,Qtd. Parcelas,Valor Parcela,URL da Imagem
Inverter,Ar-Condicionado Split HW Inverter Springer Midea Xtreme Save Connect C 30.000 BTUs Quente/Frio 220V,220  V,"R$ 7.999,00","ou R$ 7.599,05 à vista",8x,"R$ 999,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-hw-inverter-springer-midea-xtreme-save-connect-c-30-000-btus-quente-frio-220v.webp
Inverter,Ar-Condicionado Split HW Inverter Springer Midea Xtreme Save Connect C 30.000 BTUs Quente/Frio 220V,30000 BTUs,"R$ R$ 7.999,00 à prazo","ou R$ 7.599,05 à vista",8x,"R$ 999,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-hw-inverter-springer-midea-xtreme-save-connect-c-30-000-btus-quente-frio-220v.webp
Inverter,Ar-Condicionado Split HW Inverter Springer Midea Xtreme Save Connect 9.000 BTUs R-32 Só Frio 220V,,"R$ 2.249,00","ou R$ 2.136,55 à vista",8x,"R$ 281,13 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-hw-inverter-springer-midea-xtreme-save-connect-9-000-btus-r-32-s-frio-220v.webp
Inverter,Ar-Condicionado Split HW Inverter Springer Midea Xtreme Save Connect 9.000 BTUs R-32 Só Frio 220V,9000 BTUs,"R$ R$ 2.249,00 à prazo","ou R$ 2.136,55 à vista",8x,"R$ 281,13 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-hw-inverter-springer-midea-xtreme-save-connect-9-000-btus-r-32-s-frio-220v.webp
Inverter,Ar-Condicionado Split HW Inverter Springer Midea Xtreme Save Connect 9.000 BTUs R-32 Quente/Frio 220V,,"R$ 2.589,00","ou R$ 2.459,55 à vista",8x,"R$ 323,63 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-hw-inverter-springer-midea-xtreme-save-connect-9-000-btus-r-32-quente-frio-220v.webp
Inverter,Ar-Condicionado Split HW Inverter Springer Midea Xtreme Save Connect 9.000 BTUs R-32 Quente/Frio 220V,9000 BTUs,"R$ R$ 2.589,00 à prazo","ou R$ 2.459,55 à vista",8x,"R$ 323,63 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-hw-inverter-springer-midea-xtreme-save-connect-9-000-btus-r-32-quente-frio-220v.webp
Inverter,Ar-Condicionado Split HW Inverter Springer Midea Xtreme Save Connect 12.000 BTUs R-32 Quente/Frio 220V,,"R$ 2.999,00","ou R$ 2.849,05 à vista",8x,"R$ 374,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-hw-inverter-springer-midea-xtreme-save-connect-12-000-btus-r-32-quente-frio-220v.webp
Inverter,Ar-Condicionado Split HW Inverter Springer Midea Xtreme Save Connect 12.000 BTUs R-32 Quente/Frio 220V,12000 BTUs,"R$ R$ 2.999,00 à prazo","ou R$ 2.849,05 à vista",8x,"R$ 374,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-hw-inverter-springer-midea-xtreme-save-connect-12-000-btus-r-32-quente-frio-220v.webp
Inverter,Ar-Condicionado Split HW Inverter Springer Midea Xtreme Save Connect 12.000 BTUs R-32 Só Frio 220V,,"R$ 2.649,00","ou R$ 2.516,55 à vista",8x,"R$ 331,13 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-hw-inverter-springer-midea-xtreme-save-connect-12-000-btus-r-32-s-frio-220v.webp
Inverter,Ar-Condicionado Split HW Inverter Springer Midea Xtreme Save Connect 12.000 BTUs R-32 Só Frio 220V,12000 BTUs,"R$ R$ 2.649,00 à prazo","ou R$ 2.516,55 à vista",8x,"R$ 331,13 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-hw-inverter-springer-midea-xtreme-save-connect-12-000-btus-r-32-s-frio-220v.webp
Inverter,Ar-Condicionado Split HW Inverter Springer Midea Xtreme Save Connect 18.000 BTUs R-32 Só Frio 220V,,"R$ 4.039,00","ou R$ 3.837,05 à vista",8x,"R$ 504,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-hw-inverter-springer-midea-xtreme-save-connect-18-000-btus-r-32-s-frio-220v.webp
Inverter,Ar-Condicionado Split HW Inverter Springer Midea Xtreme Save Connect 18.000 BTUs R-32 Só Frio 220V,18000 BTUs,"R$ R$ 4.039,00 à prazo","ou R$ 3.837,05 à vista",8x,"R$ 504,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-hw-inverter-springer-midea-xtreme-save-connect-18-000-btus-r-32-s-frio-220v.webp
Inverter,Ar-Condicionado Split HW Inverter Springer Midea Xtreme Save Connect 18.000 BTUs R-32 Quente/Frio 220V,220  V,"R$ 4.329,00","ou R$ 4.112,55 à vista",8x,"R$ 541,13 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-hw-inverter-springer-midea-xtreme-save-connect-18-000-btus-r-32-quente-frio-220v.webp
Inverter,Ar-Condicionado Split HW Inverter Springer Midea Xtreme Save Connect 18.000 BTUs R-32 Quente/Frio 220V,18000 BTUs,"R$ R$ 4.329,00 à prazo","ou R$ 4.112,55 à vista",8x,"R$ 541,13 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-hw-inverter-springer-midea-xtreme-save-connect-18-000-btus-r-32-quente-frio-220v.webp
Inverter,Ar-Condicionado Split HW Inverter Springer Midea Xtreme Save Connect 24.000 BTUs R-32 Quente/Frio 220V,220  V,"R$ 5.549,00","ou R$ 5.271,55 à vista",8x,"R$ 693,63 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-hw-inverter-springer-midea-xtreme-save-connect-24-000-btus-r-32-quente-frio-220v.webp
Inverter,Ar-Condicionado Split HW Inverter Springer Midea Xtreme Save Connect 24.000 BTUs R-32 Quente/Frio 220V,24000 BTUs,"R$ R$ 5.549,00 à prazo","ou R$ 5.271,55 à vista",8x,"R$ 693,63 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-hw-inverter-springer-midea-xtreme-save-connect-24-000-btus-r-32-quente-frio-220v.webp
Inverter,Ar-Condicionado Split HW Inverter Midea Xtreme Save Connect Black Edition 12.000 BTUs R-32 Quente/Frio 220V,220  V,"R$ 3.229,00","ou R$ 3.067,55 à vista",8x,"R$ 403,63 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-hw-inverter-midea-xtreme-save-connect-black-edition-12-000-btus-r-32-quente-frio-220v-1.webp
Inverter,Ar-Condicionado Split HW Inverter Midea Xtreme Save Connect Black Edition 12.000 BTUs R-32 Quente/Frio 220V,12000 BTUs,"R$ R$ 3.229,00 à prazo","ou R$ 3.067,55 à vista",8x,"R$ 403,63 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-hw-inverter-midea-xtreme-save-connect-black-edition-12-000-btus-r-32-quente-frio-220v-1.webp
Inverter,Ar-Condicionado Split HW Inverter Midea Xtreme Save Connect Black Edition 18.000 BTUs R-32 Quente/Frio 220V,220  V,"R$ 4.389,00","ou R$ 4.169,55 à vista",8x,"R$ 548,63 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-hw-inverter-midea-xtreme-save-connect-black-edition-18-000-btus-r-32-quente-frio-220v.webp
Inverter,Ar-Condicionado Split HW Inverter Midea Xtreme Save Connect Black Edition 18.000 BTUs R-32 Quente/Frio 220V,18000 BTUs,"R$ R$ 4.389,00 à prazo","ou R$ 4.169,55 à vista",8x,"R$ 548,63 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-hw-inverter-midea-xtreme-save-connect-black-edition-18-000-btus-r-32-quente-frio-220v.webp
Inverter,Ar-Condicionado Split HW Inverter Springer Midea Xtreme Save Connect Black Edition 24.000 BTUs R-32 Quente/Frio 220V,220  V,"R$ 5.719,00","ou R$ 5.433,05 à vista",8x,"R$ 714,88 sem juros",https://www.vendas.leveros.com.br/upload/produto/imagem/ar-condicionado-split-hw-inverter-springer-midea-xtreme-save-connect-black-edition-24-000-btus-r-32-quente-frio-220v.webp
